#timestamp,cputime,freemem,th_cnt
17346572520722,9020000000,8008990720,36
17376578088908,9140000000,8008830976,36
17406587027279,11130000000,7853559808,46
17436592802343,11260000000,7853940736,46
17466599256164,13070000000,7795609600,47
17496604722972,13160000000,7794847744,47
17526611158091,15320000000,7730286592,47
17556616464720,15400000000,7730159616,47
17586623198682,17790000000,7644442624,47
17616628786261,17880000000,7644442624,47
17646635002301,20580000000,7625498624,46
17676640630958,20710000000,7625371648,46
17706648853934,24280000000,7620030464,47
17736653881891,24570000000,7627395072,47
17766660273569,27900000000,7643385856,48
17796665862232,27980000000,7643385856,48
17826671859271,31820000000,7663329280,47
17856677453375,31920000000,7663329280,47
17886683741419,35750000000,7678050304,47
17916688698404,35820000000,7671984128,47
17946695237332,39830000000,7673372672,47
17976700877716,39900000000,7673372672,47
18006706915383,43770000000,7675150336,47
18036712349036,43840000000,7675277312,47
18066720727877,47720000000,7644676096,47
18096726084264,47790000000,7644549120,47
18126731913587,51480000000,7641247744,47
18156737324003,51550000000,7640993792,47
18186743504152,55170000000,7637065728,46
18216748789758,55240000000,7637065728,46
18246755215483,58750000000,7636422656,47
18276760573656,58810000000,7636422656,47
18306767249973,61950000000,7633891328,46
18336773456495,62020000000,7633764352,46
18366779427176,64760000000,7638073344,47
18396784750001,64820000000,7638073344,47
18426790933100,67090000000,7643914240,47
18456795817400,67140000000,7643787264,47
18486801922402,69310000000,7650643968,47
18516807075346,69360000000,7650643968,47
18546813018635,70830000000,7653699584,46
18576817942085,70880000000,7653572608,46
18606823914569,71930000000,7659294720,45
18636828895107,72000000000,7659294720,45
18666833577180,73510000000,7665111040,48
18696838948975,73580000000,7665111040,48
18726843307571,75620000000,7671341056,47
18756847246252,75670000000,7671214080,47
18786853220646,78040000000,7684038656,47
18816858762658,78100000000,7683911680,47
18846864901200,80920000000,7690141696,46
18876870519576,80970000000,7690141696,46
18906876407171,84080000000,7689506816,46
18936881503716,84130000000,7689506816,46
18966887294293,87540000000,7696990208,47
18996892440294,87590000000,7696990208,47
19026898395933,91160000000,7697506304,46
19056903162109,91220000000,7697252352,46
19086908825620,94890000000,7666388992,47
19116913759929,95010000000,7666388992,47
19146919664467,98790000000,7679586304,47
19176924654508,98840000000,7679459328,47
19206930420016,102650000000,7685046272,47
19236935602882,102700000000,7684919296,47
19266941258671,106460000000,7693553664,48
19296946445711,106520000000,7693434880,48
19326952505722,110150000000,7694086144,46
19356957607624,110200000000,7693959168,46
19386963496503,113690000000,7689261056,46
19416968311228,113740000000,7689261056,46
19446974418981,117020000000,7675539456,47
19476979509047,117070000000,7675412480,47
19506985573181,120060000000,7639207936,49
19536990605400,120110000000,7639207936,49
19566996534186,122730000000,7644540928,49
19597001588466,122790000000,7644286976,49
19627007755448,125070000000,7654461440,47
19657012700239,125120000000,7654461440,47
19687018573035,126970000000,7661445120,47
19717023551035,127030000000,7661318144,47
19747029448865,128490000000,7666151424,46
19777034878215,128540000000,7666024448,46
19807040818709,129620000000,7667802112,46
19837046058698,129680000000,7667802112,46
19867051658816,131200000000,7671087104,48
19897056698292,131250000000,7671087104,48
19927062432341,133240000000,7681134592,46
19957067564518,133290000000,7681007616,46
19987073490714,135650000000,7686205440,47
20017078809738,135700000000,7686205440,47
20047084694175,138400000000,7690014720,47
20077089497884,138470000000,7690014720,47
20107095575631,141600000000,7668936704,47
20137100694231,141660000000,7668936704,47
20167106781735,144880000000,7655985152,47
20197112087090,144940000000,7655985152,47
20227118057888,148700000000,7663476736,47
20257122968447,148760000000,7663476736,47
20287128793214,152450000000,7672492032,47
20317133632773,152500000000,7672365056,47
20347139784489,156290000000,7682912256,46
20377144804089,156450000000,7682912256,46
20407151068505,160170000000,7688634368,46
20437156440070,160210000000,7688634368,46
20467162404731,164140000000,7695347712,48
20497167695517,164190000000,7695347712,48
20527173514694,167800000000,7679483904,47
20557178738256,167850000000,7679356928,47
20587184599897,171300000000,7675928576,47
20617189749415,171350000000,7675801600,47
20647195520740,174580000000,7676690432,47
20677200529669,174670000000,7676563456,47
20707206333090,177650000000,7674667008,46
20737211686478,177700000000,7674667008,46
20767217533053,180320000000,7670452224,49
20797222797731,180370000000,7670325248,49
20827228853425,182650000000,7671992320,47
20857241055845,182700000000,7671865344,47
20887246686984,184600000000,7673524224,46
20917251523799,184660000000,7673524224,46
20947257582301,186110000000,7676825600,46
